feature_name,affected_by_absolute_signal_strength,affected_by_rotation
AreaShape_Area,False,False
AreaShape_Compactness,False,False
AreaShape_ConvexArea,False,False
AreaShape_Eccentricity,False,False
AreaShape_EquivalentDiameter,False,False
AreaShape_EulerNumber,False,False
AreaShape_Extent,False,False
AreaShape_FormFactor,False,False
AreaShape_MajorAxisLength,False,False
AreaShape_MaxFeretDiameter,False,False
AreaShape_MaximumRadius,False,False
AreaShape_MeanRadius,False,False
AreaShape_MedianRadius,False,False
AreaShape_MinFeretDiameter,False,False
AreaShape_MinorAxisLength,False,False
AreaShape_Orientation,False,False
AreaShape_Perimeter,False,False
AreaShape_Solidity,False,False
AreaShape_Zernike,False,False
Correlation_Correlation,False,False
#Correlation_Costes给出了p value，不能直接用于下游分析
#Correlation_Costes,True,False
Correlation_K,False,False
Correlation_Manders,True,False
Correlation_Overlap,True,False
Correlation_RWC,True,False
Granularity,False,False
Intensity_IntegratedIntensityEdge_,True,False
Intensity_IntegratedIntensity_,True,False
Intensity_LowerQuartileIntensity_,True,False
Intensity_MADIntensity_,True,False
Intensity_MassDisplacement_,False,False
Intensity_MaxIntensityEdge_,True,False
Intensity_MaxIntensity_,True,False
Intensity_MeanIntensityEdge_,True,False
Intensity_MeanIntensity_,True,False
Intensity_MinIntensityEdge_,True,False
Intensity_MinIntensity_,True,False
Intensity_StdIntensityEdge_,True,False
Intensity_StdIntensity_,True,False
Intensity_UpperQuartileIntensity_,True,False
Neighbors_AngleBetweenNeighbors_,False,False
Neighbors_FirstClosestDistance_,False,False
Neighbors_NumberOfNeighbors_,False,False
Neighbors_PercentTouching_,False,False
Neighbors_SecondClosestDistance_,False,False
RadialDistribution_FracAtD_,False,False
RadialDistribution_MeanFrac_,False,False
RadialDistribution_RadialCV_,True,False
Texture_AngularSecondMoment,False,True
Texture_Contrast,True,True
Texture_Correlation,False,True
Texture_DifferenceEntropy,True,True
Texture_DifferenceVariance,True,True
Texture_Entropy,False,True
Texture_InfoMeas1,False,True
Texture_InfoMeas2,False,True
Texture_InverseDifferenceMoment,False,True
Texture_SumAverage,True,True
Texture_SumEntropy,False,True
Texture_SumVariance,True,True
Texture_Variance,True,True
#Texture人为合并成旋转不变的特征
Texture_mean_AngularSecondMoment,False,False
Texture_mean_Contrast,True,False
Texture_mean_Correlation,False,False
Texture_mean_DifferenceEntropy,True,False
Texture_mean_DifferenceVariance,True,False
Texture_mean_Entropy,False,False
Texture_mean_InfoMeas1,False,False
Texture_mean_InfoMeas2,False,False
Texture_mean_InverseDifferenceMoment,False,False
Texture_mean_SumAverage,True,False
Texture_mean_SumEntropy,False,False
Texture_mean_SumVariance,True,False
Texture_mean_Variance,True,False
#Texture人为合并成旋转不变的特征
Texture_max_AngularSecondMoment,False,False
Texture_max_Contrast,True,False
Texture_max_Correlation,False,False
Texture_max_DifferenceEntropy,True,False
Texture_max_DifferenceVariance,True,False
Texture_max_Entropy,False,False
Texture_max_InfoMeas1,False,False
Texture_max_InfoMeas2,False,False
Texture_max_InverseDifferenceMoment,False,False
Texture_max_SumAverage,True,False
Texture_max_SumEntropy,False,False
Texture_max_SumVariance,True,False
Texture_max_Variance,True,False
